"cd_mun","date","ndvi"
"1506351","2019-08-06",NA
"1507953","2019-08-06",NA
"1508100","2019-08-06",NA
"1500107","2019-08-13",0.0181563823064771
"1500800","2019-08-13",0.0198228542234332
"1501105","2019-08-13",0.0223204453504295
"1501204","2019-08-13",0.0220326744439051
"1501303","2019-08-13",0.0164039112522956
"1501402","2019-08-13",0.0130648620541995
"1501501","2019-08-13",0.0213517194416071
"1501782","2019-08-13",0.0207072414285941
"1502103","2019-08-13",0.0201276598380968
"1503093","2019-08-13",0.0210827968953056
"1503309","2019-08-13",0.0203371335607784
"1503804","2019-08-13",0.0197513192901186
"1504000","2019-08-13",0.0173611535344055
"1504422","2019-08-13",0.0206973505853358
"1504604","2019-08-13",0.0215200028947749
"1504703","2019-08-13",0.0227343358309451
"1505064","2019-08-13",0.0209082671876408
"1505205","2019-08-13",0.0213584039296647
"1506351","2019-08-13",0.0216331402085747
"1507953","2019-08-13",0.0223801210940808
"1508100","2019-08-13",0.0199764947442616
"1500107","2019-08-20",NA
"1500800","2019-08-20",NA
"1501105","2019-08-20",NA
"1501204","2019-08-20",NA
"1501303","2019-08-20",NA
"1501402","2019-08-20",NA
"1501501","2019-08-20",NA
"1501782","2019-08-20",NA
"1502103","2019-08-20",NA
"1503093","2019-08-20",NA
"1503309","2019-08-20",NA
"1503804","2019-08-20",NA
"1504000","2019-08-20",NA
"1504422","2019-08-20",NA
"1504604","2019-08-20",NA
"1504703","2019-08-20",NA
"1505064","2019-08-20",NA
"1505205","2019-08-20",NA
"1506351","2019-08-20",NA
"1507953","2019-08-20",NA
"1508100","2019-08-20",NA
"1500107","2019-08-27",0.0186080891122849
"1500800","2019-08-27",0.0193364899451554
"1501105","2019-08-27",0.0225084120048707
"1501204","2019-08-27",0.0213617132255128
"1501303","2019-08-27",0.0162676883713644
"1501402","2019-08-27",0.0139163703336403
"1501501","2019-08-27",0.0210372793354102
"1501782","2019-08-27",0.0196577776628214
"1502103","2019-08-27",0.0198718426277624
"1503093","2019-08-27",0.0189343747944485
"1503309","2019-08-27",0.0196448536797696
"1503804","2019-08-27",0.0189056934258774
"1504000","2019-08-27",0.0174115119667933
"1504422","2019-08-27",0.0203776561493883
"1504604","2019-08-27",0.0209940509705141
"1504703","2019-08-27",0.0211613182827592
"1505064","2019-08-27",0.0196772368913357
"1505205","2019-08-27",0.0216393784939165
"1506351","2019-08-27",0.0213953095238095
"1507953","2019-08-27",0.0192999198681258
"1508100","2019-08-27",0.0192604356619475
"1500107","2019-09-03",NA
"1500800","2019-09-03",NA
"1501105","2019-09-03",NA
"1501204","2019-09-03",NA
"1501303","2019-09-03",NA
"1501402","2019-09-03",NA
"1501501","2019-09-03",NA
"1501782","2019-09-03",NA
"1502103","2019-09-03",NA
"1503093","2019-09-03",NA
"1503309","2019-09-03",NA
"1503804","2019-09-03",NA
"1504000","2019-09-03",NA
"1504422","2019-09-03",NA
"1504604","2019-09-03",NA
"1504703","2019-09-03",NA
"1505064","2019-09-03",NA
"1505205","2019-09-03",NA
"1506351","2019-09-03",NA
"1507953","2019-09-03",NA
"1508100","2019-09-03",NA
"1500107","2019-09-10",0.0189880062876605
"1500800","2019-09-10",0.0190640546006067
"1501105","2019-09-10",0.0226254676651173
"1501204","2019-09-10",0.0200574031038812
"1501303","2019-09-10",0.0163931291743641
"1501402","2019-09-10",0.0132961040129566
"1501501","2019-09-10",0.0204105786618445
"1501782","2019-09-10",0.0177679222215754
"1502103","2019-09-10",0.019624273075545
"1503093","2019-09-10",0.0170164636896707
"1503309","2019-09-10",0.0193416484487651
"1503804","2019-09-10",0.016913688079818
"1504000","2019-09-10",0.018028831347163
"1504422","2019-09-10",0.019870889261745
"1504604","2019-09-10",0.0196570088905127
"1504703","2019-09-10",0.0200166253310354
"1505064","2019-09-10",0.0197709663953246
"1505205","2019-09-10",0.0220256572761779
"1506351","2019-09-10",0.0207928153717627
"1507953","2019-09-10",0.018613306420309
"1508100","2019-09-10",0.0183070533608491
"1500107","2019-09-17",NA
"1500800","2019-09-17",NA
"1501105","2019-09-17",NA
"1501204","2019-09-17",NA
"1501303","2019-09-17",NA
"1501402","2019-09-17",NA
"1501501","2019-09-17",NA
"1501782","2019-09-17",NA
"1502103","2019-09-17",NA
"1503093","2019-09-17",NA
"1503309","2019-09-17",NA
